Location
"Kabul,Kabul,Afghanistan"
"Luanda,Luanda Province,Angola"
"The Valley,Anguilla"
"Abu Dhabi,Abu Dhabi,United Arab Emirates"
"Ajman,Ajman,United Arab Emirates"
"Dubai,Dubai,United Arab Emirates"
"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates"
"Salta,Salta Province,Argentina"
"Bahia Blanca,Buenos Aires Province,Argentina"
"Saint John's,Saint John,Antigua and Barbuda"
"Canberra,Australian Capital Territory,Australia"
"Barwon Downs,Victoria,Australia"
"Albury,New South Wales,Australia"
"Port Augusta,South Australia,Australia"
"Busselton,Western Australia,Australia"
"Hervey Bay,Queensland,Australia"
"Bad Tatzmannsdorf,Burgenland,Austria"
"Sulzberg,Vorarlberg,Austria"
"Vienna,Vienna,Austria"
"Baku,Azerbaijan"
"Anderlecht,Brussels,Belgium"
"Bertem,Flanders,Belgium"
"Courcelles,Wallonia,Belgium"
"Haskovo,Haskovo Province,Bulgaria"
"Kardzali,Kardzhali Province,Bulgaria"
"Kazanluk,Stara Zagora,Bulgaria"
"Manama,Capital Governorate,Bahrain"
"Gomel,Gomel Region,Belarus"
"Minsk,Minsk Region,Belarus"
"Navapolatsk,Vitebsk Region,Belarus"
"Rio Branco,State of Acre,Brazil"
"Capela,State of Alagoas,Brazil"
"Itacoatiara,State of Amazonas,Brazil"
"Macapa,State of Amapa,Brazil"
"Alagoinhas,State of Bahia,Brazil"
"Caninde,State of Ceara,Brazil"
"Brasilia,Federal District,Brazil"
"Cachoeiro de Itapemirim,State of Espirito Santo,Brazil"
"Catalao,State of Goias,Brazil"
"Balsas,State of Maranhao,Brazil"
"Alfenas,State of Minas Gerais,Brazil"
"Caceres,State of Mato Grosso,Brazil"
"Campo Grande,State of Mato Grosso do Sul,Brazil"
"Presidente Epitacio,State of Sao Paulo,Brazil"
"Altamira,State of Para,Brazil"
"Araguaina,State of Tocantins,Brazil"
"Saint James,Barbados"
"Bandar Seri Begawan,Brunei-Muara District,Brunei"
"Acme,Alberta,Canada"
"100 Mile House,British Columbia,Canada"
"Dundas,Ontario,Canada"
"Zollikofen,Canton of Bern,Switzerland"
"Aesch,Basel-Landschaft,Switzerland"
"Riehen,Basel City,Switzerland"
"Charmey,Fribourg,Switzerland"
"Payerne,Vaud,Switzerland"
"Bellevue,Geneva,Switzerland"
"Bilten,Glarus,Switzerland"
"Arosa,Grisons,Switzerland"
"Delemont,Jura,Switzerland"
"Adligenswil,Lucerne,Switzerland"
"Hergiswil,Nidwalden,Switzerland"
"Bevaix,Neuchatel,Switzerland"
"Engelberg,Obwalden,Switzerland"
"Au,St. Gallen,Switzerland"
"Schwerzenbach,Zurich,Switzerland"
"Beringen,Schaffhausen,Switzerland"
"Balsthal,Solothurn,Switzerland"
"Einsiedeln,Schwyz,Switzerland"
"Amriswil,Thurgau,Switzerland"
"Agno,Ticino,Switzerland"
"Brig,Valais,Switzerland"
"Baar,Canton of Zug,Switzerland"
"Bremgarten,Aargau,Switzerland"
"Eglisau,Switzerland"
"Antofagasta,Antofagasta,Chile"
"Temuco,Araucania,Chile"
"Concepcion,Bio Bio,Chile"
"Algarrobo,Coquimbo,Chile"
"Rancagua,O'Higgins,Chile"
"Osorno,Los Lagos,Chile"
"Valdivia,Los Rios,Chile"
"Punta Arenas,Magallanes and Chilean Antarctica,Chile"
"Curico,Maule,Chile"
"Conchali,Santiago Metropolitan Region,Chile"
"Iquique,Tarapaca,Chile"
"Los Andes,Valparaiso,Chile"
"Beijing,Beijing,China"
"Tianjin,Tianjin,China"
"Chengde,Hebei,China"
"Ankang,Shaanxi,China"
"Jincheng,Shanxi,China"
"Sanmenxia,Henan,China"
"Baotou,Inner Mongolia,China"
"Anshan,Liaoning,China"
"Chaoyang, Liaoning,Liaoning,China"
"Baicheng,Jilin,China"
"Harbin,Heilongjiang,China"
"Shanghai,Shanghai,China"
"Changzhou,Jiangsu,China"
"Hangzhou,Zhejiang,China"
"Anqing,Anhui,China"
"Fuzhou,Fujian,China"
"Ganzhou,Jiangxi,China"
"Dezhou,Shandong,China"
"Enshi City,Hubei,China"
"Changde,Hunan,China"
"Chaozhou,Guangdong Province,China"
"Guilin,Guangxi,China"
"Haikou,Hainan,China"
"Chongqing,Chongqing,China"
"Chengdu,Sichuan,China"
"Guiyang,Guizhou,China"
"Chuxiong Yi Autonomous Prefecture,Yunnan,China"
"Lhasa,Tibet,China"
"Jiayuguan City,Gansu,China"
"Xining,Qinghai,China"
"Guyuan,Ningxia,China"
"Changji Hui Autonomous Prefecture,Xinjiang,China"
"Kinshasa,Democratic Republic of the Congo"
"Envigado,Antioquia,Colombia"
"Barranquillita,Atlantico,Colombia"
"Cartagenita,Bolivar,Colombia"
